hotel_name,hotel_features
Travelodge London City hotel,"Travelodge London City hotel is an excellent choice for travelers visiting London, offering a family-friendly environment alongside many helpful amenities designed to enhance your stay. You’ll enjoy relaxing rooms that offer a flat screen TV, and you can stay connected during your stay as Travelodge London City hotel offers guests paid wifi. Plus, Travelodge London City hotel offers an on-site restaurant, providing a pleasant respite from your busy day. Nearby landmarks such as Covent Garden (2.1 mi) and Coca-Cola London Eye (2.1 mi) make Travelodge London City hotel a great place to stay when visiting London. While in London, you may want to check out some of the restaurants that are a short walk away from Travelodge London City hotel, including Coppa Club - Tower Bridge (0.5 mi), Duck and Waffle (0.3 mi), and Aqua Shard (0.9 mi). Looking to explore? Then look no further than Tower of London (0.5 mi), Sky Garden (0.5 mi), and The View from The Shard (0.9 mi), which are some popular London attractions – all conveniently located within walking distance of the hotel."
Hampton by Hilton London Docklands,"Everyone needs a place to lay their weary head. For travelers visiting London, Hampton by Hilton London Docklands is an excellent choice for rest and rejuvenation. Well-known for its family-friendly environment and proximity to great restaurants and attractions, Hampton by Hilton London Docklands makes it easy to enjoy the best of London. Guest rooms offer amenities such as a flat screen TV, air conditioning, and a desk, and guests can go online with free wifi offered by the hotel. Hampton by Hilton London Docklands features a 24 hour front desk, room service, and baggage storage, to help make your stay more enjoyable. The property also boasts a fitness center and free breakfast. If you are driving to Hampton by Hilton London Docklands, parking is available. Close to some of London's most popular landmarks, such as Up at The O2 (1.7 mi) and Crossrail Place Roof Garden (2.4 mi), Hampton by Hilton London Docklands is a great destination for tourists. Travelers looking to enjoy some lobster can head to ROKA Canary Wharf, Plateau, or Goodman Canary Wharf. Otherwise, you may want to check out a Spanish restaurant such as Tapa Tapa, TapaVino, or Manzanos Latin American Bistro. Plus, during your trip, don’t forget to check out some of the popular ancient ruins, such as London's Roman Amphitheatre, Billingsgate Roman Bath House, and London Wall. Whether you’re traveling for business, pleasure or both, Hampton by Hilton London Docklands is sure to make your visit to London one worth remembering."
Sunborn London,"Sunborn London is located at the western end of the Royal Victoria Dock overlooking the Docklands, Canary Wharf O2 Arena, London City Airport, and the ExCel where one can enjoy the panoramic views of their private settings. Travelling on the DLR towards Beckton alighting from Custom House Excel DLR station, it is a 3-5 minute walk which is a short distance from the main entrance of the ExCel London. For a more scenic journey one can enjoy taking the Emirates Cable Car journey from the North Greenwich O2 Arena to the Royal Victoria Dock, where you can enjoy a walk along the pier t taking in what the local area has to offer whilst visiting Sunborn London."
The Walrus Hostel,"A 5 minute walk from London Eye, Big Ben, Houses of Parliament, Westminster and all the excitement of the Southbank. The Walrus is the best place to enjoy a short break or stay for up to 4 weeks as your base in London.Located beside Waterloo station, and other near by tubes and serviced by buses along Westminster bridge road into central London. As such it can be a bit noisy at times (free ear-plugs are available on request, but most people are not bothered by the noise). We feature FREE Wi-Fi for those who bring there own laptops, lockers, a FREE simple breakfast of tea/coffee, toast and cereal and FREE bag storage on early arrival.Our aim is to make you feel welcome on arrival, and help you enjoy a safe, secure stay while you get the most out of your time in London.Our award winning friendly staff can offer information on London, and the ins and outs of getting around easily and quickly.We look forward to seeing you soon."
"Point A Hotel, London Kings Cross St Pancras","Kings Cross has become a must-visit destination and your Point A Hotel, London Kings Cross is right at the heart of it. Bars, restaurants, and of course Kings Cross and St Pancras (Eurostar) stations are all moments away."
St. Athans Hotel,"The St. Athans Hotel, Bloomsbury, is a simple, eco-friendly, family-run bed & breakfast in the heart of London. It’s grade II listed 200 year old Georgian terraced houses retain many of its their original features, fitting in well with the historic area, and is within walking distance of the British Museum, the University of London, Covent Garden and the new British Library. We’re also only a short bus ride away from many major the attractions, such as of Madame Tussaud’s and London’s West End, with its many shops, theatres, bars, and restaurants."
The W14 Kensington,"The W14 Hotel London is a 3 Star Hotel located in trendy Kensington, London. The hotel spans four beautiful Victorian town houses with original features and has been given a clean, contemporary look. Situated in a quiet, leafy, residential road close to the prestigious shops of High Street Kensington, the W14 Hotel London is just a 10 minute underground ride from the sights and sounds of Central London. You can view the W14 Hotel London on our interactive map. Please also read the W14 Hotel London Reviews."
Z Hotel Tottenham Court Road,"Stay in the heart of London - after all you're an Urbanite, not a tourist. Z TOTTENHAM COURT ROAD has everything you need for a couple of nights in town. Concentrated style, an out-of-town price, and the West End - at your feet the moment you step out the door. No off-central, tourist hotels for you. This former office building in the heart of Soho has been transformed to a 121 bedroom hotel with a modern and contemporary style in keeping with Z Hotels ethos of delivering affordable luxury accommodation. The hotel is located in Poland Street, within a couple of minutes walk from Tottenham Court Road's new Crossrail station on Oxford Street."
The Westbridge Hotel,"The Westbridge Hotel exudes all the luxury and comfort you would expect from a modern 4 star hotel situated in a Grade II listed building dating back to 18th century. There are 80 rooms with free WIFI internet access, individually controlled air conditioning and private bathrooms with walk in showers, luxury amenities and a hairdryer, LED Smart TVs, phone, small fridge, safe, iron, and tea and coffee making facilities. The Westbridge Hotel Restaurant & Bar is a contemporary restaurant where you can enjoy a hearty breakfast and delicious English brasserie inspired dishes thought dinner with extensive selection of wines and drinks. Facilities include 24hr Reception, Gym, Lounge, Courtyard, Restaurant and Bar. No parking is available on site."
Novotel London Excel,"A contemporary waterfront hotel located 150 meters from the ExCeL London & ICC (Exhibition Centre) and near the O2 Arena, Canary Wharf, Stratford, London City Airport (LCY) and historic Greenwich. The hotel is ideally located in the capital’s dynamic eastside and close to Westfield Stratford City shopping center, which is only 10 minutes away. Novotel London ExCeL is a 5 minute walk from Custom House D.L.R. station. All Novation rooms have en-suite bathrooms with a bath and separate shower unit, as well as pivoting desk for working or dining, high speed internet, Wi-Fi access and satellite TV. The Upper Deck Restaurant offers panoramic views in a relaxed environment overlooking Royal Victoria Dock. Open from 6am to 10.00pm the Upper Deck also offers 24-hour room service. Paid car parking available."
Montana Hotel,"Montana Hotel is a unique 55-room boutique hotel situated in the heart of Kensington, Knightsbridge and Chelsea. The Montana perfectly blends Victorian architecture and traditional English ambience with contemporary touches, ensuring you a unique travel experience in Kensington, one of the world’s most exclusive and fashionable neighbourhoods. Our aim is to make you feel at home, providing you an efficient four-star service and an exceptional travel experience. Recently refurbished, classic and elegant rooms combine all contemporary amenities needed, whether travelling to London for business or leisure. All rooms have their own character and personal touches, whether a large and spacious room for family travellers or a warm and cosy room for the single traveller. Luxury and comfort will await you in each of our 55 en-suite guest bedrooms. Before you settle down for a good night’s sleep, savour exquisitely presented cuisine in the hotel’s restaurant Light of India. The Light of India offers a continental breakfast and a full a la carte menu for lunch and dinner featuring the finest Indian cuisine."
Charlotte Guest House,"Within a quiet residential area of London, the traditional Charlotte Guest House is just a 5-minute walk from the West Hampstead Tube and Railway Stations. Offering Guest Accommodation in 5 beautiful Victorian buildings, all within 2 minutes walk of the Main Reception. Each room includes a TV, tea and coffee making facilities and free Wi-Fi. Some rooms benefit from their own private bathrooms, while others share facilities. Hairdryers and ironing facilities are available on request. We now have beautifully interior designed Studio Suites, with contemporary bathrooms - see our web site for full details. Our delightful new Conservatory and lounge is next to our new self catering galley kitchen for our guests to make full use of during their stay, to warm food, relax and enjoy this tranquil space. Operating from directly outside the Charlotte Guest House, a bus service has connections to famous Oxford Street, Piccadilly Circus, and Trafalgar Square. There are also direct connections to 5 London airports, including Gatwick and Luton by train, Heathrow and London City by Tube, and Stansted by coach. Charlotte Guest House is located in Camden council witch is a great choice for travellers interested in theatre, shopping and sightseeing. Charlotte Guest House is also rated for the best value in London! Guests are getting more for their money when compared to other properties in this city."
Holiday Inn London - West,"Welcome to Holiday Inn London-West. Discover a fantastic arrival experience at the Holiday Inn London - West with our new beautifully designed Open Lobby and stunning brand new Executive Rooms (including some with London skyline views). Our hotel is conveniently located between Heathrow Airport and the centre of London, with Park Royal, the largest business park in London, and Wembley Stadium just a few minutes' drive away. The shopping, business and entertainment areas of London are easily accessible by London Underground (North Acton tube station on Central Line is under five-minute walk from the hotel). Book a room with us and you'll be guaranteed a memorable stay experience."
